Data,Hora,Liquidação,Descrição,Valor (U$),Saldo da conta (U$)
11/06/2021,04:13,11/06/2021,Retenção Impostos sobre Dividendos MSFT. MICROSOFT CORP,-0.16,-0.16
11/06/2021,04:13,11/06/2021,Dividendos MSFT. MICROSOFT CORP,0.54,0.38
24/06/2021,04:48,24/06/2021,Retenção Impostos sobre Dividendos EA. ELECTRONIC ARTS INC,-0.08,0.30
24/06/2021,04:48,24/06/2021,Dividendos EA. ELECTRONIC ARTS INC,0.28,0.58
25/06/2021,04:26,25/06/2021,Dividendos QCOM. QUALCOMM INC,0.45,1.03
25/06/2021,04:26,25/06/2021,Retenção Impostos sobre Dividendos QCOM. QUALCOMM INC,-0.14,0.89
06/07/2021,11:00,08/07/2021,Venda de 0.96 MSFT a $ 278.1,266.98,267.87
06/07/2021,11:00,08/07/2021,Corretagem MSFT,-1.50,266.37
06/07/2021,11:00,08/07/2021,Corretagem BRK.B,-1.50,264.87
06/07/2021,11:00,08/07/2021,Venda de 0.56 BRK.B a $ 276.45,154.81,419.68
06/07/2021,11:01,08/07/2021,Venda de 0.89 DIS a $ 175.91,156.56,576.24
06/07/2021,11:01,08/07/2021,Corretagem DIS,-1.50,574.74
06/07/2021,11:01,08/07/2021,Corretagem TSLA,-1.50,573.24
06/07/2021,11:01,08/07/2021,Venda de 0.23 TSLA a $ 662,152.26,725.50
06/07/2021,11:01,08/07/2021,Corretagem AAPL,-1.00,724.50
06/07/2021,11:01,08/07/2021,Venda de 0.65 AAPL a $ 142.77,92.80,817.30
19/07/2021,13:34,21/07/2021,Compra de 5 AAPL a $ 142.67,-713.35,103.95
19/07/2021,13:34,21/07/2021,Corretagem AAPL,-1.50,102.45
19/07/2021,13:35,19/07/2021,Câmbio Instantâneo : R$298.86,55.75,158.20
19/07/2021,13:37,21/07/2021,Compra de 0.9 DIS a $ 173.03,-155.73,2.47
19/07/2021,13:37,21/07/2021,Corretagem DIS,-1.50,0.97
02/08/2021,10:52,04/08/2021,Corretagem AAPL,-1.50,-0.53
02/08/2021,10:52,04/08/2021,Venda de 4.5 AAPL a $ 145.39,654.26,653.73
05/08/2021,10:46,06/08/2021,Remessa Câmbio Padrão : R$3280.29,-653.73,-0.00
09/08/2021,11:11,11/08/2021,Corretagem DIS,-1.00,-1.00
09/08/2021,11:11,11/08/2021,Venda de 0.3 DIS a $ 175.21,52.56,51.56
13/08/2021,03:01,13/08/2021,Retenção Impostos sobre Dividendos AAPL. APPLE INC,-0.03,51.53
13/08/2021,03:01,13/08/2021,Dividendos AAPL. APPLE INC,0.11,51.64
16/08/2021,11:56,17/08/2021,Remessa Câmbio Padrão : R$264.62,-51.64,-0.00
23/09/2021,02:00,23/09/2021,Retenção Impostos sobre Dividendos EA. ELECTRONIC ARTS INC,-0.01,-0.01
23/09/2021,02:00,23/09/2021,Dividendos EA. ELECTRONIC ARTS INC,0.02,0.01
24/09/2021,02:26,24/09/2021,Dividendos QCOM. QUALCOMM INC,0.45,0.46
24/09/2021,02:26,24/09/2021,Retenção Impostos sobre Dividendos QCOM. QUALCOMM INC,-0.14,0.32
13/10/2021,14:03,13/10/2021,Câmbio Instantâneo : R$448.3,78.60,78.92
13/10/2021,14:03,15/10/2021,Corretagem MSFT,-1.00,77.92
13/10/2021,14:03,15/10/2021,Compra de 0.26491 MSFT a $ 294.13,-77.92,-0.00
12/11/2021,05:09,12/11/2021,Dividendos AAPL. APPLE INC,0.11,0.11
12/11/2021,05:10,12/11/2021,Retenção Impostos sobre Dividendos AAPL. APPLE INC,-0.03,0.08
30/11/2021,16:16,01/12/2021,Câmbio Padrão : R$448.3,77.81,77.89
01/12/2021,12:01,03/12/2021,Corretagem FB,-1.00,76.89
01/12/2021,12:01,03/12/2021,Compra de 0.23517 FB a $ 326.9,-76.88,0.01
10/12/2021,03:18,10/12/2021,Retenção Impostos sobre Dividendos MSFT. MICROSOFT CORP,-0.05,-0.04
10/12/2021,03:18,10/12/2021,Dividendos MSFT. MICROSOFT CORP,0.17,0.13
17/12/2021,03:42,17/12/2021,Retenção Impostos sobre Dividendos QCOM. QUALCOMM INC,-0.14,-0.01
17/12/2021,03:42,17/12/2021,Dividendos QCOM. QUALCOMM INC,0.45,0.44
23/12/2021,05:02,23/12/2021,Dividendos EA. ELECTRONIC ARTS INC,0.02,0.46
23/12/2021,05:03,23/12/2021,Retenção Impostos sobre Dividendos EA. ELECTRONIC ARTS INC,-0.01,0.45
18/01/2022,11:50,20/01/2022,Venda de 0.64 QCOM a $ 183.32,117.32,195.69
18/01/2022,11:50,20/01/2022,Corretagem QCOM,-1.50,194.19
18/01/2022,11:51,20/01/2022,Venda de 0.6 DIS a $ 150.6,90.36,284.55
18/01/2022,11:51,20/01/2022,Corretagem DIS,-1.00,283.55
18/01/2022,11:51,20/01/2022,Corretagem AAPL,-1.00,282.55
18/01/2022,11:51,20/01/2022,Venda de 0.5 AAPL a $ 170.92,85.46,368.01
20/01/2022,10:14,21/01/2022,Remessa Câmbio Padrão : R$1544.47,-290.09,77.92
