Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$)
18/01/2022;11:50;20/01/2022;Venda de 0.64 QCOM a $ 183.32;117.32;195.69
18/01/2022;11:50;20/01/2022;Corretagem QCOM;-1.50;194.19
18/01/2022;11:51;20/01/2022;Venda de 0.6 DIS a $ 150.6;90.36;284.55
18/01/2022;11:51;20/01/2022;Corretagem DIS;-1.00;283.55
18/01/2022;11:51;20/01/2022;Corretagem AAPL;-1.00;282.55
18/01/2022;11:51;20/01/2022;Venda de 0.5 AAPL a $ 170.92;85.46;368.01
20/01/2022;10:14;21/01/2022;Remessa Câmbio Padrão : R$1544.47;-290.09;77.92
11/03/2022;04:04;11/03/2022;Dividendos MSFT. MICROSOFT CORP;0.17;78.09
11/03/2022;04:04;11/03/2022;Retenção Impostos sobre Dividendos MSFT. MICROSOFT CORP;-0.05;78.04
24/03/2022;03:45;24/03/2022;Dividendos EA. ELECTRONIC ARTS INC;0.02;78.06
24/03/2022;03:45;24/03/2022;Retenção Impostos sobre Dividendos EA. ELECTRONIC ARTS INC;-0.01;78.05
25/03/2022;03:48;25/03/2022;Dividendos QCOM. QUALCOMM INC;0.01;78.06
10/06/2022;03:06;10/06/2022;Dividendos MSFT. MICROSOFT CORP;0.17;78.23
10/06/2022;03:06;10/06/2022;Retenção Impostos sobre Dividendos MSFT. MICROSOFT CORP;-0.05;78.18
23/06/2022;03:04;23/06/2022;Retenção Impostos sobre Dividendos EA. ELECTRONIC ARTS INC;-0.01;78.17
23/06/2022;03:04;23/06/2022;Dividendos EA. ELECTRONIC ARTS INC;0.02;78.19
24/06/2022;03:06;24/06/2022;Dividendos QCOM. QUALCOMM INC;0.01;78.20
03/08/2022;18:10;03/08/2022;Taxa de Inatividade;-0.50;77.70
02/09/2022;17:58;02/09/2022;Taxa de Inatividade;-0.50;77.20
09/09/2022;04:26;09/09/2022;Retenção Impostos sobre Dividendos MSFT. MICROSOFT CORP;-0.05;77.15
09/09/2022;04:26;09/09/2022;Dividendos MSFT. MICROSOFT CORP;0.17;77.32
22/09/2022;03:18;22/09/2022;Dividendos EA. ELECTRONIC ARTS INC;0.02;77.34
22/09/2022;03:18;22/09/2022;Retenção Impostos sobre Dividendos EA. ELECTRONIC ARTS INC;-0.01;77.33
23/09/2022;05:09;23/09/2022;Dividendos QCOM. QUALCOMM INC;0.01;77.34
26/09/2022;10:28;26/09/2022;Câmbio Instantâneo : R$398.49;72.88;150.22
26/09/2022;10:42;28/09/2022;Corretagem META;-2.50;147.72
26/09/2022;10:42;28/09/2022;Compra de 0.49279 META a $ 141.6;-69.78;77.94
04/10/2022;17:06;04/10/2022;Taxa de Inatividade;-0.50;77.44
05/10/2022;04:50;05/10/2022;Taxa Transferência (DTC);-0.50;76.94
05/10/2022;10:44;05/10/2022;Estorno Transferência Taxa (DTC);0.50;77.44
13/10/2022;10:22;13/10/2022;Estorno Taxa de Inatividade;0.50;77.94
26/10/2022;12:02;27/10/2022;Câmbio Padrão : R$996.21;183.42;261.36
27/10/2022;10:35;31/10/2022;Corretagem DIS;-2.50;258.86
27/10/2022;10:35;31/10/2022;Compra de 1.70403 DIS a $ 106.16;-180.90;77.96
